,COMUNA,P09,esc_rec,urban,hom,Artés,Boric,Kast,MEO,Parisi,Provoste,Sichel,cluster
27,4103,46.69297708052457,9.672924901185771,0.9012133839931364,0.4938105159946072,0.0139433551198257,0.2572984749455337,0.1440087145969499,0.0888888888888888,0.2553376906318083,0.1736383442265795,0.0668845315904139,3
28,4104,47.34180064308681,8.337413165729409,0.2733118971061093,0.5302250803858521,0.0172612197928653,0.26409666283084,0.1852704257767549,0.0667433831990794,0.2336018411967779,0.1703107019562715,0.0627157652474108,0
29,4105,47.65431034482759,10.364912280701754,0.0,0.4994252873563218,0.0177287973167225,0.2759942501197892,0.2338284619070436,0.0699568758984187,0.1327264015333014,0.1384762817441303,0.1312889314805941,3
30,4106,45.87735065696283,9.94460626757734,0.5965906315635227,0.4927465442289845,0.0135920201688041,0.2471774635536556,0.1912747999561547,0.058862216376192,0.1832730461471007,0.2157185136468267,0.090101940151266,4
31,4201,47.48316102409371,9.751854867897212,0.6728490926032746,0.4692283799973377,0.0126071608673726,0.2644141872583627,0.1641452344931921,0.0626996133804,0.230122709699109,0.1768364430996806,0.0891746512018826,3
32,4202,51.01772401181601,7.842622950819672,0.2077648051765367,0.5042903361935575,0.0120167189132706,0.3032915360501567,0.1731974921630094,0.035005224660397,0.1773772204806687,0.2223092998955068,0.0768025078369906,5
33,4203,46.37172546823471,9.946124457683093,0.7917366685333831,0.5137203658764233,0.0190863977605293,0.2725537600203588,0.1820842346354498,0.0838529074945921,0.1711413665860796,0.1693599694617635,0.1019213640412266,3
34,4204,46.21734279466238,9.97602127366925,0.5540232962913375,0.5413933145891909,0.0143584521384928,0.2170061099796334,0.2053971486761711,0.0587576374745417,0.2558044806517311,0.1639511201629327,0.0847250509164969,4
35,4301,45.52551535600818,10.238008646998985,0.7801147698445927,0.4727360047287146,0.0114229765013054,0.238223455178416,0.2106451261966928,0.0752012619669277,0.2115154482158398,0.1515176240208877,0.1014741079199303,4
36,4302,50.5047142582259,8.77214562047416,0.4292861266115066,0.496825091398884,0.0135107884654164,0.2444041137326073,0.1784633998790078,0.0425489009881024,0.1889493849566444,0.2561000201653559,0.0760233918128654,5
37,4303,46.58812829954306,8.699581170900483,0.4828091034115611,0.4898185528592342,0.0183988065638985,0.1961213326703133,0.1885629040278468,0.0743908503232222,0.2608652411735455,0.18269517652909,0.0789656887120835,3
38,4304,47.68355065195587,8.841644908616187,0.5062688064192578,0.4926028084252758,0.0076675735839722,0.202572347266881,0.1686866188473905,0.0648033638387336,0.3076923076923077,0.175364828097947,0.0732129606727677,0
39,4305,50.743263251406574,8.160374509211719,0.0,0.5022209061297009,0.011409013120365,0.1865373645179692,0.2082144894466628,0.0707358813462635,0.1859669138619509,0.2258984597832287,0.1112378779235596,5
40,5101,44.75577137398504,11.756107833010448,0.997478452819959,0.4822695645812984,0.025470482480845,0.3524972801135794,0.2352142344580674,0.0879005563228678,0.1042198748466447,0.0997754646954884,0.094922107082507,1
41,5102,45.343006098760576,10.518272929742864,0.6611745032461145,0.4945898091678143,0.0139556377079482,0.2634011090573013,0.3077634011090573,0.0709796672828096,0.0999075785582255,0.1158964879852125,0.1280961182994454,4
