,COMUNA,P09,esc_rec,urban,hom,Comuna,Artés,Boric,Kast,MEO,Parisi,Provoste,Sichel,Código Comuna 2018
15,2302,41.60917782026769,11.83556072051133,0.7158699808795411,0.6640535372848948,MARIA ELENA,0.018743109151047408,0.14608599779492834,0.11686879823594266,0.06504961411245866,0.5314222712238148,0.08158765159867695,0.0402425578831312,2302
16,3101,42.93258618370915,11.584999636442959,0.9801945577621375,0.4927690859371498,COPIAPO,0.013772380117691248,0.2104491226815003,0.21177270206943427,0.05736106887978679,0.2433776315083439,0.18562306605376594,0.07764402868947755,3101
17,3102,44.574117100371744,10.852767676767677,0.8806536555142503,0.5173482032218092,CALDERA,0.014577259475218658,0.2104678606136332,0.1753436068304873,0.06358461752047757,0.24170484520338748,0.23323615160349853,0.06108565875329724,3102
18,3103,42.72800937225422,9.959110758237395,0.6751928146050962,0.5706336034364932,TIERRA AMARILLA,0.00898921294446664,0.16959648421893728,0.1472233320015981,0.055733120255693165,0.3228126248501798,0.23212145425489414,0.06352377147423093,3103
19,3201,45.155101102941174,10.485740783677254,0.9010799632352942,0.5102251838235294,CHAÑARAL,0.010474430067775724,0.21626617375231053,0.14417744916820702,0.054015198192647364,0.2565208461696447,0.2614499897309509,0.05709591291846375,3201
20,3202,43.7379475895179,11.442169285352255,0.9494898979795959,0.5453090618123625,DIEGO DE ALMAGRO,0.015773552290406223,0.23444252376836647,0.12121866897147796,0.052722558340535866,0.32108902333621436,0.21326707000864303,0.04148660328435609,3202
21,3301,46.00987948616077,10.508054421768707,0.8858164481525626,0.48102238114157064,VALLENAR,0.008687403265265365,0.14094562883818462,0.1400968595536472,0.026261920215687254,0.19656498077787207,0.43202356582954715,0.055419641519796295,3301
22,3302,48.529196188614705,9.073145780051151,0.0,0.5631566088443685,ALTO DEL CARMEN,0.005684754521963824,0.1343669250645995,0.13695090439276486,0.028940568475452195,0.18863049095607234,0.4604651162790698,0.04496124031007752,3302
23,3303,46.5143470622682,9.474935090872778,0.6340035135662697,0.5040015615850088,FREIRINA,0.00834597875569044,0.16122913505311076,0.11570561456752655,0.026176024279210924,0.19423368740515934,0.44309559939301973,0.051213960546282244,3303
24,3304,46.36601307189542,10.591409691629956,0.8671468587434974,0.5130052020808323,HUASCO,0.01500646830530401,0.16584734799482537,0.13919793014230272,0.0499353169469599,0.240620957309185,0.3386804657179819,0.050711513583441135,3304
25,4101,43.88649738647302,11.954647077610987,0.905803370170458,0.46761419711720054,LA SERENA,0.01466798333293191,0.27839061634432427,0.24443026084443267,0.06701751005563718,0.16574339459042847,0.10891399118475878,0.1208362436474867,4101
26,4102,44.08362193665332,11.355147813400265,0.9419532192524924,0.47282527144717806,COQUIMBO,0.01461232880517821,0.26316081895713533,0.22012945523238048,0.08052059893880045,0.2077256438036503,0.10999527738422646,0.10385587687862878,4102
27,4103,46.69297708052457,9.672924901185771,0.9012133839931364,0.4938105159946072,ANDACOLLO,0.013943355119825708,0.25729847494553376,0.1440087145969499,0.08888888888888889,0.2553376906318083,0.17363834422657953,0.06688453159041394,4103
28,4104,47.34180064308681,8.337413165729409,0.2733118971061093,0.5302250803858521,LA HIGUERA,0.01726121979286536,0.26409666283084005,0.1852704257767549,0.0667433831990794,0.2336018411967779,0.17031070195627157,0.06271576524741082,4104
29,4105,47.654310344827586,10.364912280701754,0.0,0.49942528735632186,PAIHUANO,0.01772879731672257,0.2759942501197892,0.2338284619070436,0.06995687589841879,0.1327264015333014,0.13847628174413032,0.13128893148059415,4105
30,4106,45.87735065696283,9.94460626757734,0.5965906315635227,0.4927465442289845,VICUÑA,0.013592020168804122,0.2471774635536556,0.19127479995615476,0.058862216376192045,0.18327304614710074,0.2157185136468267,0.09010194015126603,4106
31,4201,47.48316102409371,9.751854867897213,0.6728490926032746,0.4692283799973377,ILLAPEL,0.012607160867372668,0.26441418725836274,0.16414523449319213,0.06269961338040007,0.23012270969910908,0.1768364430996806,0.08917465120188267,4201
32,4202,51.01772401181601,7.842622950819672,0.20776480517653678,0.5042903361935575,CANELA,0.012016718913270637,0.30329153605015674,0.1731974921630094,0.03500522466039707,0.17737722048066876,0.2223092998955068,0.0768025078369906,4202
33,4203,46.37172546823471,9.946124457683093,0.7917366685333831,0.5137203658764233,LOS VILOS,0.01908639776052933,0.2725537600203588,0.18208423463544982,0.08385290749459219,0.17114136658607965,0.16935996946176357,0.10192136404122662,4203
34,4204,46.21734279466238,9.97602127366925,0.5540232962913375,0.5413933145891909,SALAMANCA,0.014358452138492872,0.2170061099796334,0.2053971486761711,0.058757637474541755,0.25580448065173117,0.16395112016293278,0.08472505091649694,4204
35,4301,45.52551535600818,10.238008646998983,0.7801147698445927,0.47273600472871463,OVALLE,0.011422976501305483,0.238223455178416,0.2106451261966928,0.07520126196692777,0.21151544821583987,0.15151762402088773,0.10147410791993038,4301
36,4302,50.5047142582259,8.77214562047416,0.4292861266115066,0.496825091398884,COMBARBALA,0.013510788465416415,0.24440411373260737,0.17846339987900786,0.04254890098810244,0.18894938495664448,0.25610002016535593,0.07602339181286549,4302
37,4303,46.58812829954306,8.699581170900483,0.48280910341156114,0.48981855285923426,MONTE PATRIA,0.018398806563898557,0.1961213326703133,0.18856290402784684,0.07439085032322228,0.2608652411735455,0.18269517652909,0.07896568871208354,4303
38,4304,47.68355065195587,8.841644908616187,0.5062688064192578,0.4926028084252758,PUNITAQUI,0.007667573583972298,0.20257234726688103,0.16868661884739056,0.06480336383873361,0.3076923076923077,0.17536482809794707,0.07321296067276775,4304
39,4305,50.743263251406574,8.160374509211719,0.0,0.5022209061297009,RIO HURTADO,0.011409013120365089,0.1865373645179692,0.20821448944666288,0.07073588134626355,0.18596691386195094,0.22589845978322876,0.11123787792355962,4305
40,5101,44.755771373985034,11.756107833010448,0.997478452819959,0.4822695645812984,VALPARAISO,0.025470482480845054,0.3524972801135794,0.23521423445806744,0.08790055632286788,0.1042198748466447,0.09977546469548847,0.09492210708250708,5101
41,5102,45.343006098760576,10.518272929742864,0.6611745032461145,0.4945898091678143,CASABLANCA,0.013955637707948243,0.2634011090573013,0.3077634011090573,0.0709796672828096,0.0999075785582255,0.11589648798521257,0.12809611829944548,5102
42,5103,45.04479290310489,12.75934788157223,0.9358718060848379,0.4729180983319798,CONCON,0.008955585138569528,0.20573641534551615,0.3774658114486264,0.0504659324700472,0.08584452781475654,0.0818508209286377,0.18968090685384648,5103
43,5104,44.30965909090909,11.806916426512968,0.0,0.5553977272727273,JUAN FERNANDEZ,0.015772870662460567,0.45425867507886436,0.19242902208201892,0.0694006309148265,0.01892744479495268,0.1167192429022082,0.13249211356466878,5104
44,5105,46.99179342058719,10.710621912234815,0.8554651574106827,0.49961089494163424,PUCHUNCAVI,0.014352431939856476,0.2641530926073585,0.21870372479781297,0.09032919466909671,0.15457341382845427,0.10331472832896685,0.15457341382845427,5105
