Comuna,Nro.Voto,Nro Región,Votos
CERRILLOS,5.0,13,595
CERRILLOS,6.0,13,3530
CERRILLOS,7.0,13,2993
CERRO NAVIA,1.0,13,15350
CERRO NAVIA,2.0,13,8802
CERRO NAVIA,3.0,13,5813
CERRO NAVIA,4.0,13,4618
CERRO NAVIA,5.0,13,1435
CERRO NAVIA,6.0,13,7016
CERRO NAVIA,7.0,13,5404
CHAITEN,1.0,10,291
CHAITEN,2.0,10,555
CHAITEN,3.0,10,304
CHAITEN,4.0,10,149
CHAITEN,5.0,10,11
CHAITEN,6.0,10,69
CHAITEN,7.0,10,126
CHANCO,1.0,7,462
CHANCO,2.0,7,1719
CHANCO,3.0,7,583
CHANCO,4.0,7,391
CHANCO,5.0,7,16
CHANCO,6.0,7,140
CHANCO,7.0,7,235
CHAÑARAL,1.0,3,1053
CHAÑARAL,2.0,3,702
CHAÑARAL,3.0,3,1273
CHAÑARAL,4.0,3,278
CHAÑARAL,5.0,3,51
CHAÑARAL,6.0,3,263
CHAÑARAL,7.0,3,1249
CHEPICA,1.0,6,925
CHEPICA,2.0,6,1559
CHEPICA,3.0,6,841
CHEPICA,4.0,6,853
CHEPICA,5.0,6,34
CHEPICA,6.0,6,338
CHEPICA,7.0,6,586
CHIGUAYANTE,1.0,8,8106
CHIGUAYANTE,2.0,8,9099
CHIGUAYANTE,3.0,8,3892
CHIGUAYANTE,4.0,8,4075
CHIGUAYANTE,5.0,8,491
CHIGUAYANTE,6.0,8,2738
CHIGUAYANTE,7.0,8,5928
CHILE CHICO,1.0,11,601
CHILE CHICO,2.0,11,488
CHILE CHICO,3.0,11,332
CHILE CHICO,4.0,11,173
CHILE CHICO,5.0,11,26
CHILE CHICO,6.0,11,86
CHILE CHICO,7.0,11,184
CHILLAN,1.0,16,14744
CHILLAN,2.0,16,24290
CHILLAN,3.0,16,9009
CHILLAN,4.0,16,9421
CHILLAN,5.0,16,703
CHILLAN,6.0,16,3914
CHILLAN,7.0,16,9349
CHILLAN VIEJO,1.0,16,1894
CHILLAN VIEJO,2.0,16,3694
CHILLAN VIEJO,3.0,16,1546
CHILLAN VIEJO,4.0,16,1308
CHILLAN VIEJO,5.0,16,101
CHILLAN VIEJO,6.0,16,822
CHILLAN VIEJO,7.0,16,1728
CHIMBARONGO,1.0,6,2540
CHIMBARONGO,2.0,6,3464
CHIMBARONGO,3.0,6,1980
CHIMBARONGO,4.0,6,1797
CHIMBARONGO,5.0,6,122
CHIMBARONGO,6.0,6,980
CHIMBARONGO,7.0,6,2337
CHOLCHOL,1.0,9,789
CHOLCHOL,2.0,9,1820
CHOLCHOL,3.0,9,780
CHOLCHOL,4.0,9,549
CHOLCHOL,5.0,9,86
CHOLCHOL,6.0,9,355
CHOLCHOL,7.0,9,822
CHONCHI,1.0,10,1209
CHONCHI,2.0,10,1194
CHONCHI,3.0,10,975
CHONCHI,4.0,10,498
CHONCHI,5.0,10,96
CHONCHI,6.0,10,280
CHONCHI,7.0,10,1001
CISNES,1.0,11,409
CISNES,2.0,11,764
CISNES,3.0,11,283
CISNES,4.0,11,210
CISNES,5.0,11,23
CISNES,6.0,11,118
CISNES,7.0,11,264
COBQUECURA,1.0,16,460
COBQUECURA,2.0,16,805
COBQUECURA,3.0,16,450
COBQUECURA,4.0,16,414
COBQUECURA,5.0,16,23
COBQUECURA,6.0,16,124
COBQUECURA,7.0,16,266
COCHAMO,1.0,10,284
COCHAMO,2.0,10,646
COCHAMO,3.0,10,181
COCHAMO,4.0,10,197
COCHAMO,5.0,10,19
COCHAMO,6.0,10,69
COCHAMO,7.0,10,148
COCHRANE,1.0,11,357
COCHRANE,2.0,11,428
COCHRANE,3.0,11,264
COCHRANE,4.0,11,176
COCHRANE,5.0,11,12
COCHRANE,6.0,11,49
COCHRANE,7.0,11,101
CODEGUA,1.0,6,1327
CODEGUA,2.0,6,1175
CODEGUA,3.0,6,642
CODEGUA,4.0,6,578
CODEGUA,5.0,6,58
CODEGUA,6.0,6,522
CODEGUA,7.0,6,1008
COELEMU,1.0,16,1077
COELEMU,2.0,16,2711
COELEMU,3.0,16,1417
COELEMU,4.0,16,784
COELEMU,5.0,16,50
COELEMU,6.0,16,405
COELEMU,7.0,16,1138
COIHUECO,1.0,16,1024
COIHUECO,2.0,16,4445
COIHUECO,3.0,16,1330
COIHUECO,4.0,16,1220
COIHUECO,5.0,16,87
COIHUECO,6.0,16,464
COIHUECO,7.0,16,997
COINCO,1.0,6,769
COINCO,2.0,6,946
COINCO,3.0,6,344
COINCO,4.0,6,475
COINCO,5.0,6,24
COINCO,6.0,6,291
COINCO,7.0,6,422
COLBUN,1.0,7,1512
COLBUN,2.0,7,2140
COLBUN,3.0,7,1198
COLBUN,4.0,7,834
COLBUN,5.0,7,76
COLBUN,6.0,7,674
COLBUN,7.0,7,1132
COLCHANE,1.0,1,17
COLCHANE,2.0,1,419
COLCHANE,3.0,1,18
COLCHANE,4.0,1,10
COLCHANE,5.0,1,4
COLCHANE,6.0,1,5
COLCHANE,7.0,1,433
COLINA,1.0,13,7968
COLINA,2.0,13,18095
COLINA,3.0,13,3522
COLINA,4.0,13,9621
COLINA,5.0,13,385
COLINA,6.0,13,3011
COLINA,7.0,13,3995
COLLIPULLI,1.0,9,1119
COLLIPULLI,2.0,9,4949
COLLIPULLI,3.0,9,923
COLLIPULLI,4.0,9,676
COLLIPULLI,5.0,9,89
COLLIPULLI,6.0,9,486
COLLIPULLI,7.0,9,1170
COLTAUCO,1.0,6,1526
COLTAUCO,2.0,6,1880
COLTAUCO,3.0,6,974
COLTAUCO,4.0,6,943
COLTAUCO,5.0,6,74
COLTAUCO,6.0,6,582
COLTAUCO,7.0,6,1139
COMBARBALA,1.0,4,1212
COMBARBALA,2.0,4,885
COMBARBALA,3.0,4,1270
COMBARBALA,4.0,4,377
COMBARBALA,5.0,4,67
COMBARBALA,6.0,4,211
COMBARBALA,7.0,4,937
CONCEPCION,1.0,8,24371
CONCEPCION,2.0,8,30014
CONCEPCION,3.0,8,11041
CONCEPCION,4.0,8,12722
CONCEPCION,5.0,8,1428
CONCEPCION,6.0,8,5754
CONCEPCION,7.0,8,12679
CONCHALI,1.0,13,17619
CONCHALI,2.0,13,10988
CONCHALI,3.0,13,5972
CONCHALI,4.0,13,6008
